symbol,lastPrice,volume,openPrice,highPrice,lowPrice
XLMEUR,0.10180000,675183.00000000,0.10040000,0.10540000,0.10020000
DFETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
DFBUSD,0.03600000,923891.00000000,0.03660000,0.03670000,0.03580000
GRTBTC,0.00000292,1546957.00000000,0.00000303,0.00000306,0.00000282
GRTETH,0.00005210,297798.00000000,0.00005260,0.00005310,0.00005190
GRTUSDT,0.08210000,64531166.00000000,0.08190000,0.08520000,0.08160000
JUVBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
JUVBUSD,2.06500000,11910.62000000,2.04800000,2.08100000,2.04100000
JUVUSDT,1.92000000,257209.37000000,1.92700000,1.94500000,1.91300000
PSGBTC,0.00010100,7393.85000000,0.00010570,0.00010630,0.00009680
PSGBUSD,3.01900000,7461.31000000,3.06100000,3.07200000,2.95000000
PSGUSDT,2.83700000,203521.06000000,2.84400000,2.90500000,2.80700000
BUSDBVND,0.00,0.00000000,0.00,0.00,0.00
USDTBVND,0.00,0.00000000,0.00,0.00,0.00
1INCHBTC,0.00000887,135692.80000000,0.00000905,0.00000917,0.00000850
1INCHUSDT,0.24870000,5652897.40000000,0.24380000,0.25710000,0.24360000
REEFBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
REEFUSDT,0.00129400,1634515934.00000000,0.00126100,0.00134400,0.00125800
OGBTC,0.00014960,12796.90000000,0.00015520,0.00015580,0.00014000
OGUSDT,4.19400000,279965.00000000,4.18200000,4.24000000,4.15000000
ATMBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ATMUSDT,2.28400000,117201.11000000,2.25800000,2.31400000,2.25000000
ASRBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ASRUSDT,2.22100000,108183.70000000,2.19500000,2.24800000,2.19000000
CELOBTC,0.00001502,29232.00000000,0.00001549,0.00001561,0.00001451
CELOUSDT,0.42200000,2663072.40000000,0.41700000,0.43900000,0.41700000
RIFBTC,0.00000273,10332498.00000000,0.00000245,0.00000312,0.00000245
RIFUSDT,0.07660000,182118769.00000000,0.06570000,0.08720000,0.06560000
CHZTRY,1.58800000,11929236.00000000,1.57100000,1.62900000,1.56400000
XLMTRY,3.01900000,1320165.00000000,2.96000000,3.10900000,2.95900000
LINKGBP,6.12500000,187.52000000,6.00300000,6.19600000,6.00100000
GRTEUR,0.07840000,162523.00000000,0.07860000,0.08040000,0.07780000
BTCSTBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BTCSTBUSD,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BTCSTUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
TRUBTC,0.00000125,1175155.00000000,0.00000126,0.00000128,0.00000122
TRUBUSD,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
TRUUSDT,0.03530000,77968134.00000000,0.03406000,0.03684000,0.03390000
DEXEETH,0.00136200,2071.33000000,0.00137400,0.00138500,0.00133400
DEXEBUSD,2.14400000,842.90000000,2.12600000,2.18300000,2.12600000
EOSEUR,0.52600000,25651.00000000,0.51700000,0.53400000,0.51700000
LTCBRL,323.90000000,2142.02800000,315.70000000,333.70000000,315.00000000
USDCBUSD,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
TUSDBUSD,0.99900000,2025075.00000000,0.99880000,1.00020000,0.99870000
PAXBUSD,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
CKBBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
CKBBUSD,0.00265000,15084098.00000000,0.00290800,0.00299200,0.00250100
CKBUSDT,0.00260100,296964566.00000000,0.00264100,0.00268900,0.00256300
TWTBTC,0.00003740,357367.00000000,0.00004007,0.00004148,0.00003654
TWTBUSD,0.79240000,105099.00000000,0.79340000,0.79790000,0.77820000
TWTUSDT,1.05200000,9506292.00000000,1.07890000,1.14820000,1.03010000
